time,temp_c,condition,wind_kph,wind_degree,wind_dir,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,gust_kph,uv
2025-05-06 20:00,7.3,Cloudy ,4.7,167,SSE,0.0,0.0,86,66,6.8,6.8,7.3,0,0,0,0,10.0,8.5,0.0
2025-05-06 21:00,6.7,Cloudy ,4.3,174,S,0.0,0.0,88,71,6.3,6.3,6.7,0,0,0,0,10.0,8.3,0
2025-05-06 22:00,6.3,Overcast ,3.2,179,S,0.0,0.0,89,88,6.3,6.3,6.3,0,0,0,0,10.0,6.4,0
2025-05-06 23:00,5.7,Overcast ,2.9,193,SSW,0.0,0.0,90,100,5.7,5.7,5.7,0,0,0,0,10.0,5.9,0
2025-05-07 00:00,5.4,Overcast ,1.8,254,WSW,0.0,0.0,91,100,5.4,5.4,5.4,0,0,0,0,10.0,3.7,0
2025-05-07 01:00,5.1,Cloudy ,1.8,327,NNW,0.0,0.0,90,65,5.1,5.1,5.1,0,0,0,0,10.0,3.6,0
2025-05-07 02:00,4.0,Cloudy ,3.2,57,ENE,0.0,0.0,93,65,3.8,3.8,4.0,0,0,0,0,10.0,6.1,0
2025-05-07 03:00,4.0,Cloudy ,4.7,66,ENE,0.0,0.0,93,87,3.1,3.1,4.0,0,0,0,0,10.0,8.6,0
2025-05-07 05:00,3.8,Mist,5.4,72,ENE,0.0,0.0,94,87,2.6,2.6,3.8,0,0,0,0,2.0,9.8,0
2025-05-07 06:00,5.1,Patchy rain nearby,6.1,78,ENE,0.01,0.0,88,100,3.8,3.8,5.1,0,67,0,0,10.0,9.3,0.0
2025-05-07 07:00,6.6,Patchy rain nearby,7.9,81,E,0.03,0.0,82,71,5.1,5.1,6.6,0,64,0,0,10.0,10.0,0.2
2025-05-07 08:00,8.0,Overcast ,13.0,72,ENE,0.0,0.0,72,100,5.8,5.8,8.0,0,0,0,0,10.0,14.9,0.5
2025-05-07 09:00,9.7,Overcast ,14.4,70,ENE,0.0,0.0,63,100,7.6,7.6,9.7,0,0,0,0,10.0,16.6,1.2
2025-05-07 10:00,11.2,Overcast ,16.2,71,ENE,0.0,0.0,56,100,9.3,9.3,11.2,0,0,0,0,10.0,18.6,2.2
2025-05-07 11:00,12.3,Overcast ,17.3,73,ENE,0.0,0.0,51,100,10.5,10.5,12.3,0,0,0,0,10.0,19.9,3.3
2025-05-07 12:00,12.6,Cloudy ,17.3,74,ENE,0.0,0.0,50,82,10.9,10.9,12.6,0,0,0,0,10.0,19.9,3.2
2025-05-07 13:00,12.0,Patchy rain nearby,15.8,87,E,0.02,0.0,53,100,10.3,10.3,12.0,0,64,0,0,10.0,18.3,2.8
2025-05-07 14:00,12.0,Patchy rain nearby,14.4,92,E,0.02,0.0,52,100,10.4,10.4,12.0,0,60,0,0,10.0,17.2,3.0
2025-05-07 15:00,11.9,Patchy rain nearby,13.3,101,ESE,0.03,0.0,54,100,10.5,10.5,11.9,0,64,0,0,10.0,16.5,2.3
2025-05-07 16:00,11.4,Patchy rain nearby,12.2,112,ESE,0.04,0.0,60,100,10.0,10.0,11.4,1,86,0,0,10.0,15.9,1.9
2025-05-07 17:00,11.0,Patchy rain nearby,10.8,113,ESE,0.04,0.0,61,97,9.7,9.7,11.0,0,68,0,0,10.0,14.5,1.5
2025-05-07 18:00,10.6,Patchy rain nearby,8.3,106,ESE,0.02,0.0,62,99,9.6,9.6,10.6,0,63,0,0,10.0,11.8,0.8
2025-05-07 19:00,10.2,Patchy rain nearby,8.6,94,E,0.01,0.0,64,87,9.1,9.1,10.2,0,61,0,0,10.0,14.2,0.3
2025-05-07 20:00,9.0,Patchy rain nearby,10.8,86,E,0.01,0.0,68,74,7.3,7.3,9.0,1,81,0,0,10.0,19.1,0.1
2025-05-07 21:00,8.9,Patchy rain nearby,12.2,73,ENE,0.01,0.0,69,85,6.9,6.9,8.9,1,82,0,0,10.0,19.4,0
